MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Saudi Arabia,st,st,1,1,38.8552,-77.5269,0.001054102,6337,6000,6012000,6011752
"San Diego-Carlsbad, CA",Saudi Arabia,nd,th,2,7,33.0164,-116.7305,0.000753991,2453,2000,3253000,3253356
"New York-Newark-Jersey City, NY-NJ-PA",Saudi Arabia,th,th,7,4,40.778,-73.7087,0.000176323,3532,4000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Saudi Arabia,th,nd,5,2,34.0786,-118.3232,0.000420869,5551,6000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Saudi Arabia,rd,rd,3,3,29.6976,-95.3147,0.000592664,3842,4000,6483000,6482592
"Chicago-Naperville-Elgin, IL-IN-WI",Saudi Arabia,th,th,6,6,41.703,-87.9363,0.000281894,2686,3000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Saudi Arabia,th,th,4,5,42.5684,-71.1109,0.000579634,2741,3000,4729000,4728844
